sequence_id,forward,reverse,score
00008e5323e7410f0f87769552673b9e9d8107b8deaccd05fcd74525dd63b93d,-270.01034162938595,-267.8180764466524,-268.9142090380192
0002dd56332cfca8c27ad4df373dbc0bfdd77d52142fc39371e73d3ebcee8c8f,-239.38729777932167,-227.45205795764923,-233.41967786848545
0007e1aeec6019a0448d19c50b5c15c127f93fbec2480a20980d255de2faa245,-280.4148002266884,-283.55222594738007,-281.9835130870342
000954bb10c993ef863df200e135eddd16c2f60c7fee23ea29c3297f6fe1afc6,-275.7629715204239,-271.3039261698723,-273.5334488451481
000a29360b62ac373b7aecb6858668ef7c525b314788b481eb19d722cee49538,-267.78929084539413,-270.38773649930954,-269.08851367235184
000bb0e4141c78c1262ad55efcf21983ae7f88cdf3213f6456a913ba7c02864f,-53.17442658147775,-51.15563409496099,-52.16503033821937
00168b457470c8816bda0866eb22d68ed961da83060f0926a79d9f346d926aa6,-205.2283727377653,-210.43939872086048,-207.8338857293129
001d1c1ad4b5430ea0c047d1d6146faaa075927bea7848e54f7554f5b76bb3c6,-162.91148991975933,-162.75963525706902,-162.83556258841418
002a71b725298b13435c154c9f731ab1294026a93443ac8594a28e384c362155,-259.22760881483555,-260.315929710865,-259.7717692628503
002c3e1809dab7419d467c8bdb41fd931701799596681fbba2e19c041b6c5e30,-243.5688826292753,-253.20528446882963,-248.38708354905248
002f0732ee31c8337b1007b396605f7a6d381f41c6af52482054612b14a9c5ff,-164.28397925011814,-162.22026130370796,-163.25212027691305
0030d650dc0d0804c81f3357380ce50ef129f569af3ba96083a0aa39f1c8d3fa,-221.50306832790372,-223.69276697933677,-222.59791765362024
00333778927a72d4aeb6f62cd6315499c72c84798f1d8747779cdc55f9065433,-89.70888872211799,-78.47951323795132,-84.09420098003466
003645f3aa76446868ea222a8636d552e867f91935571749148b86ac5c41e70d,-278.0126183032989,-283.22906985878944,-280.6208440810442
0038c6ca312f8f0934e3887f10af7605be04cb61fa43c9b21d841ec6476e3794,-220.52055710554123,-223.5682051181793,-222.04438111186028
003c1b2ede81607116acc1d00e7d90ddd160c869679ef4b769d72bf6801ebd92,-264.8119061589241,-263.6512837409973,-264.2315949499607
003fcaf43d6ffa48741054ee7bfc169d6d22d9cf06a4f0cdda41d6c7ecd51762,-249.1625512838364,-252.6095794439316,-250.886065363884
0047cf973b48cca2b2dc47ec1ce6150b774dff7cf2cf9d550661355566aedbae,-247.74138829112053,-252.6713256984949,-250.2063569948077
004f79dd39202481ca7eaeb8016be73df1e65220437c2a67131db3d761c48835,-255.6278162896633,-230.42651823163035,-243.0271672606468
0054108a408ba1d6e8fa104c565384390c33b000d42e3800bfe6dfc0fe307400,-273.29843109846115,-268.50571632385254,-270.90207371115685
005e0101ab6b27ccaa87230492a296fec2d2b5f55586e40f2a18dde4da7cc510,-258.0941449999809,-258.8500454425812,-258.47209522128105
006465553d1e91674068a789af79f3ce7e7d51a4b53f82029e1a27df004905e0,-260.5044913291931,-262.65427684783936,-261.57938408851624
0066784ca418ce7df81a8a67b7eb16b6ac90a842ff8ee5b523a42f151cd88ffd,-242.7445657402277,-238.09843011200428,-240.421497926116
0066f42a2d4027ff4c52dcc2fcca93e3cdc528da95037a7e0cb4b61de1b2c84d,-221.2979661654681,-228.1476988550276,-224.72283251024783
007313bfb2c01a0ef5ceb7b7b4f5cd910a396a03b54fcf8598be7a6c4a9dcfae,-263.8354644179344,-263.6341194063425,-263.73479191213846
007b61c572f6f98dd4f9f1d43d7f8ef6f40745badb6b9551c33341a18b900606,-263.7843744754791,-267.62593203783035,-265.70515325665474
0098db624bcfae6bb2bd3038cda5ea89f22f595be00974d39827712c997c2371,-261.29605332016945,-259.94477701187134,-260.6204151660204
009a1d0440029283cd4d3d55dfb2c3016e75f07293f9e44b458378a854ce364f,-261.2262854874134,-262.44019788503647,-261.83324168622494
00a0128c502a0ea6d12bf601f61bb77772c5771582b76c26fbcd82dd6ea22ec0,-247.6273756623268,-246.6050547361374,-247.1162151992321
00a1837ddc6384d293a819db5839a16a81510d1d881499067f803d37cfa232ac,-278.2484487891197,-278.3461369276047,-278.2972928583622
00c014462431eac25cdaa53e274423c2bfe306ab61512372bef89d3556c432c8,-252.80008527636528,-256.3961789011955,-254.5981320887804
00c1cde4da01c0167bcdd181bb96f04185af8bb295202ce3c0343191c377ed1a,-260.1346294283867,-255.45758426189423,-257.79610684514046
00c3f1bd35479c4fc8f4d8dbae847987751782eda60b98993ae3761cb715fc2c,-266.25670915842056,-266.1379781663418,-266.1973436623812
00cffe640f694020d989ef3bfad9161ca9f67e6efafb684f2b3f351be547fb47,-131.42666041944176,-139.85908904951066,-135.6428747344762
00dc8099bf9d90c150056dd9d79c61e3a85bb49deb951ef1be252541d1553159,-197.26093313097957,-199.7484893798828,-198.5047112554312
00e1aeb00fbea2167d60d96e89d0a48ccf91c2dfd471b7df9d3cefedf4844beb,-235.99382127821443,-236.31552681326863,-236.1546740457416
00e2f687024e49bef69899fd2dd3e5af6b31544a8b3c06bcabde1814b9993566,-259.7399080991745,-258.88112077116966,-259.3105144351721
00f88b965bf6b126d1e6a2df419ba53869244d110578f4e0a814a408beacba32,-260.0732352733612,-256.0299128890037,-258.0515740811825
00fbf1d7bae96733def5b517096afe05c3690d45f38f76720accf9b9e279113e,-255.3323140591383,-260.4517751336098,-257.89204459637403
00fdd04fc0020c36744d6de27fda9055ff2df765a4453f944b84cab5dcca692f,-252.44505074620247,-253.6394753456116,-253.04226304590705
010448ab943575c018bd3828504e7f4b1e5a4515fdf81dcf50a6ed12bfe62ae9,-231.52978251874447,-233.7004273980856,-232.61510495841503
0105f5e2e2e2b9d4f6d75afbc7d7d85acfeb9507958d4482f720e89ce6f92abf,-176.64195463061333,-181.8221610430628,-179.23205783683807
01061cf7d9bcd22d187969ace8b74b13dc2886cb7447fcfcf36c0dbfc9b76ee5,-247.61244943737984,-248.50880360603333,-248.06062652170655
0112d5c0a14ebfd0bf910fee34996002f2c0bcd642b01b4cc2281e4b2e64dec8,-278.24417489767075,-285.11724466085434,-281.68070977926254
0113ebc3368615485821653ef46de4529d27caf05b060d2aca85df4ddab07a72,-255.0757828950882,-256.02422654628754,-255.55000472068787
0117f9cf020267d0652c5b353d0dcc704b6e420fc7f7321326a5d00e0125f948,-33.04843221511692,-33.03838459029794,-33.04340840270743
011b814562c9958baf1d16c9bad49775711a14a354d475f54b539571c88e4846,-247.4336339533329,-250.1673088669777,-248.8004714101553
01223b315bbbe051ca2e5928a29d108ce9e485a149c16a58a0cac5bbd818d28e,-261.33746033906937,-261.8911088705063,-261.6142846047878
012c92f4efa5c81a32eb5ef3754e7dacab4ffda69e51606511ebf9b81997c4cc,-243.4082143306732,-245.9246625304222,-244.6664384305477
012e853919d05f622aa19dda8793fd001b5e994d498a5e47c9bd367e904ffc57,-284.3970740437508,-279.8667411804199,-282.13190761208534
012f18e9e88f0e68c85d69937dddbd4be210f0c9bd7780420e98582bd5047b65,-212.4255968928337,-214.22793532907963,-213.32676611095667
01350c6e3c59fbfc42168a5105e7512b4111809c9d3c59bc180ab2db2da24f4a,-238.1866670548916,-236.9849842786789,-237.58582566678524
0135699eb948c648a93addd5d0b044c53eac38bfcc655de7c59229c222a08ca9,-252.7073686569929,-257.6655441522598,-255.1864564046264
